id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
150540,1.188823348852553,Divertida Mente,7.914,913.2538535888924,"['Pixar', 'Walt Disney Pictures']",1281.0431080395772,1.7358293061631824,2015.0,"Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen",United States,0.98
299536,1.188783162233943,Vingadores: Guerra Infinita,8.246,1071.258406912567,['Marvel Studios'],1647.1475431480746,1.7867955551870478,2018.0,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","United States, Norway",0.85
293660,1.1875999371544004,Deadpool,7.62,658.3580939120047,"['20th Century Fox', ""The Donners' Company"", 'Genre Films', 'Marvel Entertainment']",1247.8057985187518,1.7464937879688498,2016.0,"Action, Comedy",Tim Miller,United States,0.85
126889,1.1854022503064874,Alien: Covenant,6.126,766.7856639858068,"['20th Century Fox', 'Brandywine Productions', 'Scott Free Productions']",888.3143166860157,1.757511532825225,2017.0,"Horror, Sci-Fi, Thriller",Ridley Scott,"United Kingdom, United States",0.65
24428,1.1840372073819885,Os Vingadores: The Avengers,7.717,977.282192978422,['Marvel Studios'],1510.3326443807373,1.7698770985825611,2012.0,"Action, Sci-Fi",Joss Whedon,United States,0.91
383498,1.185610904389063,Deadpool 2,7.491,795.9022237846743,"['Maximum Effort', 'Genre Films', '20th Century Fox', 'Marvel Entertainment']",1249.2090880074863,1.7554782786241152,2018.0,"Action, Adventure, Comedy",David Leitch,"United States, Canada",0.84
157336,1.1818324072214283,Interestelar,8.439,897.4775534670842,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']",1209.0869351774768,1.781821728099669,2014.0,"Adventure, Drama, Sci-Fi",Christopher Nolan,"United States, United Kingdom, Canada",0.73
122917,1.1812748795831622,O Hobbit: A Batalha dos Cinco Exércitos,7.323,1014.976570622467,"['Warner Bros. Pictures', 'New Line Cinema', 'Metro-Goldwyn-Mayer', 'WingNut Films', 'The Saul Zaentz Company']",1321.7741290414572,1.7703964987009226,2014.0,"Adventure, Fantasy",Peter Jackson,"New Zealand, United States",0.59
324786,1.1765798111857466,Até o Último Homem,8.197,589.6464974235987,"['Summit Entertainment', 'Pandemonium', 'Cross Creek Pictures', 'Permut Presentations', 'Vendian Entertainment', 'Argent Pictures', 'IM Global', 'AI Film', 'Bliss Media', 'Lionsgate', 'Kylin Pictures', 'Cosmos Filmed Entertainment']",810.4693525780941,1.7682851337281016,2016.0,"Biography, Drama, History",Mel Gibson,United States,0.84
70981,1.1804440257259663,Prometheus,6.559,836.2855543130546,"['Dune Entertainment', '20th Century Fox', 'Brandywine Productions', 'Scott Free Productions']",1030.703159874744,1.758825229446907,2012.0,"Adventure, Mystery, Sci-Fi",Ridley Scott,"United Kingdom, United States",0.73
293863,1.1756683698401431,A Incrível História de Adaline,7.48,512.855496212847,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Lionsgate']",610.3424325999285,1.7504152723237256,2015.0,"Drama, Fantasy, Romance",Lee Toland Krieger,"United States, Canada",0.55
