id,popularity,title,vote_average,budget,imdb_id,origin_country,production_companies,revenue,runtime,Year,Genre,Director,Country,Ratings,seriesID
482600,166.506,일본 엄마,7.167,0,,['KR'],[],0,91,,,,,,
667538,160.858,Transformers: O Despertar das Feras,7.315,195000000,tt5090568,['US'],"[{'id': 82819, 'logo_path': '/gXfFl9pRPaoaq14jybEn1pHeldr.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 6734, 'logo_path': '/u55FhlG6vFNzSVKLcmnFFwLb2cc.png', 'name': 'Bay Films', 'origin_country': 'US'}, {'id': 114732, 'logo_path': '/tNCbisMxO5mX2X2bOQxHHQZVYnT.png', 'name': 'New Republic Pictures', 'origin_country': 'US'}, {'id': 38831, 'logo_path': None, 'name': 'DeSanto/Murphy Productions', 'origin_country': 'US'}, {'id': 2598, 'logo_path': '/i42C5gRq7XqlG4S9vkchuJZfrBn.png', 'name': 'Hasbro', 'origin_country': 'US'}]",439000000,127,2023,"Action, Adventure, Sci-Fi",Steven Caple Jr.,"United States, Canada, United Kingdom, New Zealand, Hungary, Peru, China","[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",
1008409,157.518,Clube dos Vândalos,6.9,40000000,tt21454134,['US'],"[{'id': 50914, 'logo_path': None, 'name': 'Tri-State Pictures', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/wRn5HnYMGeJHmItRypgOZOC6gwY.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/7cxRWzi4LsVm4Utfpr1hfARNurT.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}]",35625207,116,2023,"Crime, Drama",Jeff Nichols,United States,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",
444483,152.029,ヴァッサロード,5.385,0,tt2998536,['JP'],"[{'id': 529, 'logo_path': '/rwB6w2aPENQbx756pBWSw44Ouk.png', 'name': 'Production I.G', 'origin_country': 'JP'}]",0,28,2013,"Animation, Short, Drama, Horror, Mystery",Kazuto Nakazawa,Japan,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",
1012201,148.181,HAIKYU!! The Dumpster Battle,7.058,5000000,tt30476486,['JP'],"[{'id': 529, 'logo_path': '/rwB6w2aPENQbx756pBWSw44Ouk.png', 'name': 'Production I.G', 'origin_country': 'JP'}, {'id': 882, 'logo_path': '/fRSWWjquvzcHjACbtF53utZFIll.png', 'name': 'TOHO', 'origin_country': 'JP'}, {'id': 2918, 'logo_path': '/gyEWUBWwqrm3H5T2hkERD9LxpOq.png', 'name': 'Shueisha', 'origin_country': 'JP'}, {'id': 3363, 'logo_path': '/sj3vD7n63bTCih7bcf6GnWvRf1Q.png', 'name': 'MBS', 'origin_country': 'JP'}, {'id': 1778, 'logo_path': '/b5rT6VbYza3LyfltCmz1OcqzWJM.png', 'name': 'dentsu', 'origin_country': 'JP'}, {'id': 648, 'logo_path': '/s811As3dkcqSgl4nEWEVYfJVVxh.png', 'name': 'Sony Music Entertainment', 'origin_country': 'JP'}, {'id': 3466, 'logo_path': '/lmCg0zarmM52wrmsZRUY0QlPKLh.png', 'name': 'movic', 'origin_country': 'JP'}]",89070263,85,2024,"Animation, Comedy, Drama",Susumu Mitsunaka,Japan,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",
359410,184.358,Matador de Aluguel,7.004,85000000,tt3359350,['US'],"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}]",0,121,2024,"Action, Thriller",Doug Liman,United States,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",
1093995,163.613,Missão Suicida,5.592,0,tt21301418,['US'],"[{'id': 5641, 'logo_path': None, 'name': 'Bee Holder Productions', 'origin_country': 'US'}, {'id': 62709, 'logo_path': None, 'name': 'Concourse Media', 'origin_country': 'US'}, {'id': 189103, 'logo_path': '/hu0qcD4k7kfWpdAewqmJSUyZPa7.png', 'name': 'Ashland Hill Media Finance', 'origin_country': 'US'}, {'id': 173156, 'logo_path': None, 'name': 'TDP FILMS', 'origin_country': ''}, {'id': 159674, 'logo_path': '/2NAHsquI5QpycL3RnnxlESGgS7C.png', 'name': 'Filmology Finance', 'origin_country': ''}, {'id': 90423, 'logo_path': '/8KJcTfZZx3IV4dLYLIO7ogkD615.png', 'name': 'Tip-Top Productions', 'origin_country': 'US'}, {'id': 80609, 'logo_path': None, 'name': 'Mirror Productions', 'origin_country': ''}]",0,97,2024,"Action, Thriller",Jesse V. Johnson,United States,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",
1179558,151.808,15 Cameras,6.111,0,tt28255598,['US'],"[{'id': 89268, 'logo_path': None, 'name': 'Hood River Entertainment', 'origin_country': 'US'}]",0,89,2023,Horror,Danny Madden,United States,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",
8078,151.643,Alien: A Ressurreição,6.154,70000000,tt0118583,['US'],"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 401, 'logo_path': '/t7mM3DvQ9MwDT3YzMCBrkWpWiiz.png', 'name': 'Brandywine Productions', 'origin_country': 'US'}]",162000000,109,1997,"Action, Horror, Sci-Fi",Jean-Pierre Jeunet,United States,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",
120,169.361,O Senhor dos Anéis: A Sociedade do Anel,8.414,93000000,tt0120737,['US'],"[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 11, 'logo_path': '/6FAuASQHybRkZUk08p9PzSs9ezM.png', 'name': 'WingNut Films', 'origin_country': 'NZ'}, {'id': 5237, 'logo_path': '/mlnr7vsBHvLye8oEb5A76C0t8x9.png', 'name': 'The Saul Zaentz Company', 'origin_country': 'US'}]",871368364,179,2001,"Action, Adventure, Drama",Peter Jackson,"New Zealand, United States","[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",
