id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
1865,1.1755260735999504,Piratas do Caribe: Navegando em Águas Misteriosas,6.553,1147.9910185962349,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company']",1356.365414295463,1.766079854193199,2011.0,"Action, Adventure, Fantasy",Rob Marshall,"United States, United Kingdom",Ruim
216015,1.175801237024476,Cinquenta Tons de Cinza,5.887,589.6464974235987,"['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",1139.335745489297,1.759470043793191,2015.0,"Drama, Romance, Thriller",Sam Taylor-Johnson,United States,Ruim
243688,1.1609949295034638,Poltergeist - O Fenômeno,5.208,566.7362352585743,"['TSG Entertainment', 'Ghost House Pictures', 'Vertigo Entertainment', 'Metro-Goldwyn-Mayer', 'Fox 2000 Pictures']",679.9779323929375,1.7338507920995114,2015.0,"Horror, Thriller",Gil Kenan,"United States, Canada",Ruim
246655,1.1725620385936406,X-Men: Apocalipse,6.518,917.8624605211656,"[""The Donners' Company"", 'Bad Hat Harry Productions', 'Genre Films', 'Hutch Parker Entertainment', '20th Century Fox', 'Marvel Entertainment', 'TSG Entertainment']",1123.4987439378872,1.7703964987009226,2016.0,"Action, Adventure, Sci-Fi",Bryan Singer,United States,Ruim
337167,1.1723340270768057,Cinquenta Tons de Liberdade,6.707,648.0693641222549,"['Universal Pictures', 'Michael De Luca Productions', 'Perfect World Pictures']",1004.0326078737312,1.7414028222841826,2018.0,"Drama, Mystery, Romance",James Foley,"United States, China",Ruim
141052,1.1722960034991745,Liga da Justiça,6.083,1071.258406912567,"['RatPac Entertainment', 'Cruel & Unusual Films', 'Atlas Entertainment', 'Warner Bros. Pictures', 'DC Films']",1188.598658804062,1.756164625255987,2017.0,"Action, Adventure, Fantasy",Zack Snyder,"United States, Canada, United Kingdom",Ruim
166426,1.1658163517301854,Piratas do Caribe: A Vingança de Salazar,6.654,990.228816620326,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil']",1253.7706162082563,1.76197275398668,2017.0,"Action, Adventure, Fantasy","Joachim Rønning, Espen Sandberg","United States, Australia, United Kingdom, Canada",Ruim
439079,1.1701688327859547,A Freira,5.89,493.7469160423504,"['New Line Cinema', 'Atomic Monster', 'The Safran Company']",1002.2858441431408,1.7367949458496668,2018.0,"Horror, Mystery, Thriller",Corin Hardy,United States,Ruim
49013,1.16819739477914,Carros 2,6.123,950.0887855101364,"['Pixar', 'Walt Disney Pictures']",1132.879020309161,1.7456758625083062,2011.0,"Animation, Adventure, Comedy","John Lasseter, Bradford Lewis","United States, Japan",Ruim
91314,1.168079106969578,Transformers: A Era da Extinção,5.94,963.9137993577788,"['di Bonaventura Pictures', 'DeSanto/Murphy Productions', 'Ian Bryce Productions', 'Paramount Pictures']",1377.7523121549525,1.781004600052588,2014.0,"Action, Adventure, Sci-Fi",Michael Bay,"United States, China, Hong Kong, Mexico, India, Singapore, Greece",Ruim
