id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
14836,1.1890482507748652,Coraline e o Mundo Secreto,7.881,665.0104969744012,"['Laika', 'Pandemonium']",764.3425742105993,1.6934613507867189,2009.0,"Animation, Drama, Family",Henry Selick,United States,Excelente
155,1.179098097472646,Batman: O Cavaleiro das Trevas,8.5,928.4068176606206,"['DC', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']",1340.7701122703195,1.7743626665783083,2008.0,"Action, Crime, Drama",Christopher Nolan,"United States, United Kingdom",Excelente
120,1.1812234856239483,O Senhor dos Anéis: A Sociedade do Anel,8.414,757.2755086672742,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",1286.9310101156984,1.7856967327208713,2001.0,"Action, Adventure, Drama",Peter Jackson,"New Zealand, United States",Excelente
14160,1.1743892097706352,Up: Altas Aventuras,7.958,913.2538535888924,['Pixar'],1225.3840977541342,1.7367949458496668,2009.0,"Animation, Adventure, Comedy","Pete Docter, Bob Peterson",United States,Excelente
1726,1.1761735684302304,Homem de Ferro,7.646,854.847591612822,"['Marvel Studios', 'Marvel Entertainment', 'Fairview Entertainment']",1147.4170431684472,1.760107050150733,2008.0,"Action, Adventure, Sci-Fi",Jon Favreau,"United States, Canada",Excelente
673,1.17678397619759,Harry Potter e o Prisioneiro de Azkaban,8.018,836.2855543130546,"['Warner Bros. Pictures', '1492 Pictures', 'Heyday Films', 'P of A Productions Limited']",1250.995994954255,1.7693521376822292,2004.0,"Adventure, Family, Fantasy",Alfonso Cuarón,"United Kingdom, United States",Excelente
122,1.1767228096847488,O Senhor dos Anéis: O Retorno do Rei,8.481,759.6796730808911,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",1383.0604110112552,1.7934747509508573,2003.0,"Action, Adventure, Drama",Peter Jackson,"New Zealand, United States",Excelente
585,1.1751139832554662,Monstros S.A.,7.8,806.454306269104,['Pixar'],1144.312677899395,1.7328370571577023,2001.0,"Animation, Adventure, Comedy","Pete Docter, David Silverman, Lee Unkrich",United States,Excelente
121,1.1785285981802245,O Senhor dos Anéis: As Duas Torres,8.397,721.5262820299656,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",1309.79622872703,1.7860661042539778,2002.0,"Action, Adventure, Drama",Peter Jackson,"New Zealand, United States",Excelente
38757,1.1744007019450178,Enrolados,7.608,1026.8295484439425,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",1151.5177511205147,1.7414028222841826,2010.0,"Animation, Adventure, Comedy","Nathan Greno, Byron Howard","United States, Japan",Excelente
809,1.173771186879051,Shrek 2,7.276,872.4970788168314,"['DreamWorks Animation', 'Pacific Data Images']",1313.5181289494449,1.7338507920995114,2004.0,"Animation, Adventure, Comedy","Andrew Adamson, Kelly Asbury, Conrad Vernon",United States,Excelente
129,1.1730085940063664,A Viagem de Chihiro,8.536,472.70168552497455,['Studio Ghibli'],922.8329654524276,1.760107050150733,2001.0,"Animation, Adventure, Family",Hayao Miyazaki,"Japan, United States",Excelente
2062,1.1723700443807283,Ratatouille,7.824,872.4970788168314,"['Pixar', 'Walt Disney Pictures']",1168.7132038942996,1.7488792769035868,2007.0,"Animation, Adventure, Comedy","Brad Bird, Jan Pinkava",United States,Excelente
16869,1.1676769725589222,Bastardos Inglórios,8.219,696.1124988114004,"['The Weinstein Company', 'Universal Pictures', 'A Band Apart', 'Zehnte Babelsberg Film', 'Visiona Romantica', 'Peninsula Films']",965.4069609951129,1.7743626665783083,2009.0,"Adventure, Drama, War",Quentin Tarantino,"Germany, United States",Excelente
10191,1.1678360762580615,Como Treinar o Seu Dragão,7.829,897.4775534670842,['DreamWorks Animation'],1093.3007166192954,1.73868102547898,2010.0,"Animation, Action, Adventure","Dean DeBlois, Chris Sanders","United States, France, United Kingdom",Excelente
10681,1.1670450200458171,WALL-E,8.091,920.9045274793864,"['Pixar', 'Walt Disney Pictures']",1109.824365647414,1.7377453882262006,2008.0,"Animation, Adventure, Family",Andrew Stanton,"United States, Japan",Excelente
23168,1.1549124311271388,Atração Perigosa,7.212,576.1609405954198,"['Legendary Pictures', 'GK Films', 'Thunder Road', 'Warner Bros. Pictures']",780.7598940406634,1.744846101408145,2010.0,"Crime, Drama, Thriller",Ben Affleck,United States,Excelente
10193,1.1645524141699108,Toy Story 3,7.798,950.0887855101364,"['Pixar', 'Walt Disney Pictures']",1364.384647254304,1.743149916696921,2010.0,"Animation, Adventure, Comedy",Lee Unkrich,United States,Excelente
11770,1.1637121380986433,Kung Fu Futebol Clube,7.119,390.56358951705016,"['Star Overseas', 'Universe Entertainment']",539.2182402059962,1.7504152723237256,2001.0,"Action, Comedy, Fantasy",Stephen Chow,"Hong Kong, China",Excelente
13475,1.151223021336783,Star Trek,7.43,872.4970788168314,"['Paramount Pictures', 'Spyglass Entertainment', 'Bad Robot']",1018.3530252581368,1.7607364039164974,2009.0,"Action, Adventure, Sci-Fi",J.J. Abrams,"United States, Germany",Excelente
