total_languages,total_countries,total_streaming,titulo,cluster
51.0,30.0,30.0,O Poderoso Chefão,0
45.0,50.0,27.0,Patos!,0
53.0,60.0,17.0,Homem-Aranha: Sem Volta Para Casa,0
47.0,56.0,32.0,John Wick 4: Baba Yaga,0
43.0,22.0,29.0,Os Fantasmas se Divertem,0
49.0,62.0,28.0,Velozes & Furiosos 10,0
43.0,22.0,29.0,Os Fantasmas se Divertem,0
45.0,49.0,29.0,O Poderoso Chefão: Parte III,0
47.0,56.0,32.0,John Wick 4: Baba Yaga,0
48.0,90.0,39.0,Interestelar,0
53.0,41.0,21.0,O Hobbit: A Batalha dos Cinco Exércitos,0
47.0,88.0,27.0,Oppenheimer,0
47.0,68.0,36.0,Batman: O Cavaleiro das Trevas,0
50.0,60.0,37.0,Harry Potter e a Pedra Filosofal,0
47.0,43.0,30.0,Transformers: O Despertar das Feras,0
50.0,61.0,29.0,O Senhor dos Anéis: A Sociedade do Anel,0
46.0,55.0,45.0,Até o Último Homem,0
44.0,58.0,28.0,Barbie,0
53.0,83.0,22.0,Meu Malvado Favorito,0
46.0,53.0,35.0,Shrek,0
45.0,42.0,39.0,Pulp Fiction: Tempo de Violência,0
45.0,66.0,21.0,Titanic,0
51.0,53.0,24.0,Duna,0
47.0,53.0,32.0,Missão: Impossível - Acerto de Contas Parte 1,0
41.0,45.0,26.0,Todos Menos Você,0
47.0,41.0,36.0,Harry Potter e as Relíquias da Morte - Parte 2,0
55.0,86.0,31.0,Blade Runner 2049,0
48.0,58.0,39.0,Harry Potter e o Prisioneiro de Azkaban,0
44.0,30.0,34.0,Cinquenta Tons de Cinza,0
47.0,49.0,30.0,Um Sonho de Liberdade,0
43.0,58.0,23.0,Beekeeper: Rede de Vingança,0
41.0,22.0,26.0,Scarface,0
44.0,37.0,26.0,Megatubarão 2,0
44.0,30.0,34.0,Cinquenta Tons de Cinza,0
48.0,37.0,38.0,Harry Potter e o Enigma do Príncipe,0
44.0,37.0,26.0,Megatubarão 2,0
48.0,67.0,27.0,O Senhor dos Anéis: O Retorno do Rei,0
43.0,58.0,23.0,Beekeeper: Rede de Vingança,0
47.0,67.0,40.0,Harry Potter e o Cálice de Fogo,0
52.0,36.0,41.0,Jogos Vorazes: A Esperança - Parte 1,0
50.0,70.0,20.0,Batman,0
48.0,34.0,29.0,O Senhor dos Anéis: As Duas Torres,0
49.0,56.0,26.0,The Flash,0
54.0,62.0,32.0,Coringa,0
43.0,45.0,23.0,Tubarão,0
52.0,60.0,31.0,Invocação do Mal,0
54.0,66.0,20.0,Sonic 2: O Filme,0
51.0,42.0,42.0,Homem-Aranha: Longe de Casa,0
45.0,42.0,39.0,Pulp Fiction: Tempo de Violência,0
45.0,56.0,30.0,Shrek 2,0
