total_languages,total_countries,total_streaming,titulo,cluster
3.912023005428146,4.127134385045092,0.0,Deadpool & Wolverine,0
3.871201010907891,4.8283137373023015,5.0,Divertida Mente 2,0
3.784189633918261,3.9512437185814275,3.0,Meu Malvado Favorito 4,0
3.7376696182833684,3.8918202981106265,3.0,Twisters,0
3.7376696182833684,3.828641396489095,8.0,Bad Boys: Até o Fim,0
3.828641396489095,3.970291913552122,0.0,Alien: Romulus,0
3.713572066704308,3.871201010907891,8.0,Um Lugar Silencioso: Dia Um,0
3.8066624897703196,3.9318256327243257,11.0,Garfield - Fora de Casa,0
3.7612001156935624,4.812184355372417,7.0,Planeta dos Macacos: O Reinado,0
3.8066624897703196,3.9889840465642745,13.0,Furiosa: Uma Saga Mad Max,0
3.828641396489095,4.143134726391533,15.0,Godzilla e Kong: O Novo Império,0
3.7376696182833684,4.02535169073515,10.0,Guerra Civil,0
3.8918202981106265,3.828641396489095,15.0,Triplo X,0
3.8066624897703196,4.007333185232471,12.0,Alien: O Oitavo Passageiro,0
3.9512437185814275,4.02535169073515,14.0,Kung Fu Panda 4,0
3.8918202981106265,3.828641396489095,15.0,Triplo X,0
3.8918202981106265,4.382026634673881,8.0,Divertida Mente,0
3.9889840465642745,4.394449154672439,12.0,Vingadores: Guerra Infinita,0
3.7376696182833684,3.970291913552122,6.0,Coraline e o Mundo Secreto,0
3.9512437185814275,3.4339872044851463,30.0,O Poderoso Chefão,0
3.828641396489095,3.9318256327243257,27.0,Patos!,0
3.970291913552122,3.9512437185814275,14.0,Deadpool,0
3.7376696182833684,4.174387269895637,4.0,Longlegs - Vínculo Mortal,0
3.784189633918261,3.5553480614894135,10.0,Alien: Covenant,0
3.784189633918261,3.8066624897703196,15.0,Amigos Imaginários,0
3.9318256327243257,4.2626798770413155,9.0,Os Vingadores: The Avengers,0
3.828641396489095,3.6109179126442243,9.0,Deadpool 2,0
3.8066624897703196,4.787491742782046,8.0,As Marvels,0
3.8066624897703196,4.02535169073515,7.0,O Dublê,0
3.9889840465642745,4.867534450455582,20.0,Homem-Aranha: Através do Aranhaverso,0
3.9889840465642745,4.110873864173311,17.0,Homem-Aranha: Sem Volta Para Casa,0
3.8918202981106265,4.804021044733257,18.0,Duna: Parte Dois,0
