total_languages,total_countries,total_streaming,titulo,cluster
23.0,29.0,2.0,KILL: O Massacre no Trem,3
29.0,17.0,3.0,A Menina e o Dragão,3
24.0,11.0,16.0,Farang,3
29.0,16.0,0.0,Thelma,3
31.0,27.0,4.0,O Exorcismo,3
31.0,27.0,4.0,O Exorcismo,3
32.0,17.0,12.0,Pleasure,3
33.0,10.0,10.0,Alienoid,3
17.0,6.0,4.0,O Último Suspiro,3
34.0,24.0,13.0,Zona de Risco,3
22.0,17.0,6.0,Uma Natureza Violenta,3
26.0,53.0,0.0,HAIKYU!! The Dumpster Battle,3
27.0,62.0,4.0,SPY x FAMILY CÓDIGO: Branco,3
24.0,19.0,4.0,కల్కి 2898-ఎ.డి,3
34.0,24.0,13.0,Zona de Risco,3
29.0,8.0,10.0,As Férias da Minha Vida,3
33.0,36.0,7.0,Horizon: Uma Saga Americana - Capítulo 1,3
30.0,18.0,10.0,Criação dos Deuses I: Reino das Tempestades,3
17.0,9.0,3.0,The Palace,3
27.0,11.0,1.0,Era uma Vez um Deadpool,3
30.0,18.0,10.0,Criação dos Deuses I: Reino das Tempestades,3
30.0,28.0,4.0,Eu Vi o Brilho da TV,3
12.0,5.0,2.0,Vida de Cabra,3
29.0,12.0,3.0,Lanternas Vermelhas,3
30.0,28.0,4.0,Eu Vi o Brilho da TV,3
27.0,11.0,1.0,Era uma Vez um Deadpool,3
33.0,18.0,9.0,Sexta-Feira Muito Louca,3
36.0,22.0,7.0,A Nova Onda do Imperador,3
33.0,13.0,3.0,Hurricane: O Furacão,3
18.0,15.0,10.0,Garras Vorazes,3
29.0,23.0,3.0,Conspiração Tequila,3
28.0,7.0,0.0,Jennifer 8 - A Próxima Vítima,3
33.0,27.0,7.0,Amor à Queima-Roupa,3
28.0,13.0,5.0,Virando o Jogo,3
29.0,13.0,5.0,Quebra de Sigilo,3
27.0,8.0,14.0,O Jogador,3
23.0,21.0,5.0,Ainda Temos o Amanhã,3
34.0,15.0,15.0,Os Sonhadores,3
33.0,31.0,13.0,Como Sobreviver a um Ataque Zumbi,3
31.0,21.0,10.0,Perfect Blue,3
34.0,15.0,3.0,Kung Fu Futebol Clube,3
23.0,39.0,2.0,Pilotos de Combate,3
23.0,7.0,1.0,Marcados Pelo Sangue,3
28.0,9.0,8.0,Vencer ou Morrer,3
25.0,5.0,7.0,Skinheads - A Força Branca,3
28.0,13.0,5.0,Virando o Jogo,3
34.0,15.0,10.0,Terra à Deriva 2,3
23.0,39.0,2.0,Pilotos de Combate,3
23.0,8.0,18.0,A Tortura do Medo,3
28.0,7.0,5.0,Como Agarrar um Marido,3
32.0,12.0,2.0,Pi,3
35.0,12.0,5.0,A Noiva de Chucky,3
30.0,12.0,20.0,O Grande Dragão Branco,3
8.0,3.0,2.0,स्त्री २,3
29.0,22.0,13.0,Dogman,3
32.0,20.0,24.0,Amor Bandido,3
34.0,14.0,5.0,Abracadabra,3
33.0,8.0,10.0,Hackers: Piratas de Computador,3
8.0,3.0,2.0,स्त्री २,3
27.0,8.0,1.0,O Homem da Califórnia,3
27.0,31.0,15.0,Meu Amigo Robô,3
29.0,24.0,7.0,Super Nacho,3
31.0,29.0,10.0,Back to Black,3
30.0,12.0,8.0,Dragon Ball Z: O Renascimento de Freeza,3
23.0,7.0,1.0,Marcados Pelo Sangue,3
37.0,5.0,3.0,O Pequenino,3
34.0,17.0,8.0,Fúria Sobre Rodas,3
31.0,34.0,1.0,Animal,3
34.0,15.0,10.0,Terra à Deriva 2,3
35.0,18.0,12.0,A Lenda de Beowulf,3
33.0,36.0,7.0,Os Picaretas,3
27.0,11.0,6.0,O Estranho,3
23.0,7.0,8.0,A Casa do Espanto,3
31.0,22.0,22.0,Byzantium: Uma Vida Eterna,3
17.0,21.0,1.0,Crepúsculo dos Guerreiros: Walled In,3
23.0,8.0,1.0,Energia Pura,3
