total_languages,total_countries,total_streaming,titulo,cluster
49.0,61.0,0.0,Deadpool & Wolverine,1
43.0,51.0,3.0,Meu Malvado Favorito 4,1
41.0,48.0,3.0,Twisters,1
41.0,45.0,8.0,Bad Boys: Até o Fim,1
45.0,52.0,0.0,Alien: Romulus,1
40.0,41.0,5.0,É Assim Que Acaba,1
40.0,47.0,8.0,Um Lugar Silencioso: Dia Um,1
44.0,50.0,11.0,Garfield - Fora de Casa,1
44.0,53.0,13.0,Furiosa: Uma Saga Mad Max,1
45.0,39.0,1.0,Como Vender a Lua,1
45.0,62.0,15.0,Godzilla e Kong: O Novo Império,1
41.0,55.0,10.0,Guerra Civil,1
48.0,45.0,15.0,Triplo X,1
44.0,54.0,12.0,Alien: O Oitavo Passageiro,1
51.0,55.0,14.0,Kung Fu Panda 4,1
39.0,30.0,8.0,Guerra Sem Regras,1
48.0,45.0,15.0,Triplo X,1
48.0,79.0,8.0,Divertida Mente,1
41.0,52.0,6.0,Coraline e o Mundo Secreto,1
37.0,43.0,1.0,O Corvo,1
39.0,44.0,6.0,Imaculada,1
52.0,51.0,14.0,Deadpool,1
37.0,36.0,4.0,MaXXXine,1
41.0,64.0,4.0,Longlegs - Vínculo Mortal,1
43.0,34.0,10.0,Alien: Covenant,1
42.0,9.0,13.0,Atraídos Pelo Destino,1
43.0,44.0,15.0,Amigos Imaginários,1
37.0,34.0,8.0,Os Estranhos: Capítulo 1,1
50.0,70.0,9.0,Os Vingadores: The Avengers,1
45.0,36.0,9.0,Deadpool 2,1
40.0,44.0,1.0,Pisque Duas Vezes,1
39.0,44.0,6.0,Imaculada,1
44.0,55.0,7.0,O Dublê,1
34.0,33.0,16.0,Entrevista com o Demônio,1
38.0,49.0,12.0,Os Observadores,1
40.0,54.0,3.0,Fúria Primitiva,1
38.0,47.0,7.0,O Tarô da Morte,1
40.0,61.0,21.0,Madame Teia,1
43.0,22.0,11.0,Alien³,1
37.0,47.0,1.0,Borderlands: O Destino do Universo Está em Jogo,1
36.0,48.0,5.0,Clube dos Vândalos,1
43.0,23.0,11.0,Alien: A Ressurreição,1
44.0,65.0,9.0,Prometheus,1
47.0,56.0,10.0,Piratas do Caribe: A Maldição do Pérola Negra,1
40.0,22.0,19.0,A Incrível História de Adaline,1
45.0,52.0,14.0,Vingadores: Era de Ultron,1
44.0,56.0,10.0,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",1
47.0,73.0,8.0,Up: Altas Aventuras,1
43.0,80.0,10.0,X-Men: Dias de um Futuro Esquecido,1
45.0,75.0,12.0,Maze Runner: Correr ou Morrer,1
48.0,47.0,10.0,O Rei Leão,1
47.0,62.0,10.0,Piratas do Caribe: Navegando em Águas Misteriosas,1
44.0,58.0,15.0,Homem de Ferro,1
42.0,16.0,17.0,O Corvo,1
43.0,53.0,12.0,Ghostbusters: Apocalipse de Gelo,1
45.0,55.0,4.0,O Menino e a Garça,1
41.0,42.0,23.0,A Noiva Cadáver,1
39.0,38.0,21.0,Blade: O Caçador de Vampiros,1
46.0,60.0,6.0,Operação Big Hero,1
42.0,56.0,21.0,Como Eu Era Antes de Você,1
40.0,22.0,12.0,Alien vs. Predador 2,1
43.0,42.0,11.0,Malévola,1
44.0,58.0,15.0,Homem de Ferro,1
36.0,43.0,22.0,Risco Duplo,1
37.0,15.0,10.0,"Corra, Lola, Corra",1
45.0,37.0,11.0,Homem de Ferro 2,1
40.0,22.0,19.0,A Incrível História de Adaline,1
47.0,62.0,10.0,Piratas do Caribe: Navegando em Águas Misteriosas,1
40.0,50.0,7.0,Gigantes de Aço,1
43.0,41.0,21.0,Jurassic World: Domínio,1
39.0,42.0,23.0,Twister,1
38.0,51.0,23.0,A Caça,1
41.0,47.0,6.0,Abigail,1
39.0,18.0,13.0,30 Dias de Noite,1
44.0,51.0,7.0,Monstros S.A.,1
46.0,58.0,9.0,Piratas do Caribe: O Baú da Morte,1
46.0,43.0,11.0,Logan,1
44.0,56.0,7.0,Enrolados,1
37.0,32.0,6.0,Contra o Mundo,1
43.0,41.0,21.0,Jurassic World: Domínio,1
39.0,28.0,16.0,Uma Prova de Coragem,1
47.0,47.0,12.0,Capitão América: Guerra Civil,1
47.0,43.0,18.0,Minions 2: A Origem de Gru,1
41.0,23.0,13.0,Apocalypto,1
39.0,69.0,13.0,Poltergeist - O Fenômeno,1
47.0,58.0,8.0,O Rei Leão,1
46.0,60.0,6.0,Operação Big Hero,1
48.0,38.0,12.0,A Viagem de Chihiro,1
39.0,18.0,13.0,30 Dias de Noite,1
46.0,48.0,13.0,X-Men: Apocalipse,1
43.0,29.0,7.0,Ratatouille,1
37.0,15.0,10.0,"Corra, Lola, Corra",1
